feature_id,name,category,aliases,first_seen_year,description,difficulty,default_rarity
FEAT-00034,PageRank,Algorithm,Google PageRank,1998,Graph centrality algorithm ranking web pages and network nodes.,Intermediate,0.3
FEAT-00035,U-Net,Algorithm,"UNet, 3D U-Net",2015,Convolutional network for biomedical image segmentation.,Intermediate,0.3
FEAT-00036,DeepLabV3+,Algorithm,DeepLab,2018,Semantic image segmentation network using atrous spatial pyramid pooling.,Advanced,0.45
FEAT-00037,PointNet,Algorithm,PointNet++,2017,Deep learning architecture for 3D point cloud classification and segmentation.,Advanced,0.6
FEAT-00038,Kalman Filter,Algorithm,"Extended Kalman Filter, EKF",1960,Algorithm for optimal state estimation from noisy measurements.,Intermediate,0.3
FEAT-00039,SLAM,Algorithm,"Visual SLAM, ORB-SLAM",2000,Simultaneous localization and mapping for robotics.,Advanced,0.55
FEAT-00040,Mamdani Inference,Algorithm,Fuzzy Mamdani,1975,Fuzzy logic inference methodology.,Intermediate,0.4
FEAT-00041,Neo4j,Technology,"Neo4j Database, Neo4j Graph Data Science, GDS",2007,Graph database management system.,Intermediate,0.45
FEAT-00042,Docker,Technology,"Docker Container, Dockerfile",2013,OS-level virtualization platform for containerizing applications.,Beginner,0.2
FEAT-00043,Kubernetes,Technology,"K8s, k8s",2014,Container orchestration platform for automated deployment and scaling.,Intermediate,0.35
FEAT-00044,FastAPI,Technology,FastAPI Framework,2018,Modern high-performance Web framework for building Python APIs.,Beginner,0.25
FEAT-00045,React.js,Technology,"React, ReactJS",2013,Frontend JavaScript library for building user interfaces.,Beginner,0.15
FEAT-00046,PostgreSQL,Technology,"Postgres, pgvector",1996,Object-relational open-source database system.,Beginner,0.15
FEAT-00047,Redis,Technology,Redis Cache,2009,"In-memory data structure store used as database, cache, and message broker.",Beginner,0.2
FEAT-00048,Apache Kafka,Technology,"Kafka, Kafka Streams",2011,Distributed event streaming platform.,Intermediate,0.35
FEAT-00049,Apache Spark,Technology,"PySpark, Spark DataFrames",2014,Unified analytics engine for large-scale data processing.,Intermediate,0.35
FEAT-00050,MQTT,Technology,"Mosquitto, MQTT Protocol",1999,Lightweight publish-subscribe messaging protocol for IoT.,Beginner,0.25
FEAT-00051,LoRaWAN,Technology,LoRa,2015,Low-power wide-area networking protocol for IoT devices.,Intermediate,0.4
FEAT-00052,ROS,Technology,"ROS2, Robot Operating System",2007,Flexible framework for writing robot software.,Intermediate,0.45
FEAT-00053,TensorFlow Lite,Technology,"TFLite, TFLite Micro",2017,Lightweight solution for mobile and embedded devices.,Intermediate,0.4
FEAT-00054,ONNX,Technology,Open Neural Network Exchange,2017,Open format built to represent machine learning models.,Intermediate,0.35
FEAT-00055,CUDA,Technology,NVIDIA CUDA,2007,Parallel computing platform and API model created by NVIDIA.,Intermediate,0.3
FEAT-00056,OpenCV,Technology,cv2,2000,Open-source computer vision and machine learning software library.,Beginner,0.2
FEAT-00057,WebAuthn,Technology,"FIDO2, Passkeys",2019,Web standard for secure passwordless authentication.,Intermediate,0.45
FEAT-00058,Ethereum,Technology,"EVM, Solidity",2015,Decentralized blockchain platform with smart contract functionality.,Intermediate,0.35
FEAT-00059,Hyperledger Fabric,Technology,Hyperledger,2015,Permissioned enterprise blockchain framework.,Advanced,0.5
FEAT-00060,5G NR,Technology,"5G New Radio, 5G RAN",2018,Global standard for unified 5G wireless air interface.,Advanced,0.5
FEAT-00061,AWS Lambda,Technology,Serverless Lambda,2014,Serverless event-driven compute service.,Intermediate,0.25
FEAT-00062,PyTorch,Framework,"torch, PyTorch Lightning",2016,Open-source machine learning framework based on Torch.,Beginner,0.2
FEAT-00063,TensorFlow,Framework,"tf, Keras",2015,End-to-end open source platform for machine learning.,Beginner,0.2
FEAT-00064,scikit-learn,Library,sklearn,2007,Machine learning library for Python.,Beginner,0.15
FEAT-00065,Hugging Face Transformers,Library,transformers,2018,"State-of-the-art machine learning library for PyTorch, TensorFlow, and JAX.",Beginner,0.25
FEAT-00066,spaCy,Library,spacy,2015,Industrial-strength natural language processing library.,Beginner,0.25
FEAT-00067,LangChain,Framework,LangGraph,2022,Framework for developing applications powered by language models.,Intermediate,0.3
FEAT-00068,LlamaIndex,Framework,GPT Index,2022,Data framework for LLM-based applications.,Intermediate,0.35
FEAT-00069,PyTorch Geometric,Library,PyG,2019,Geometric deep learning extension library for PyTorch.,Advanced,0.55
FEAT-00070,Open3D,Library,open3d,2018,Modern library for 3D data processing.,Intermediate,0.5
FEAT-00071,MONAI,Framework,MONAI Framework,2020,PyTorch-based open source framework for deep learning in healthcare imaging.,Advanced,0.6
FEAT-00072,MediaPipe,Framework,"BlazePose, MediaPipe Hands",2019,Cross-platform ML solutions for live and streaming media.,Intermediate,0.3
FEAT-00073,SHAP,Library,shap,2017,Game theoretic approach to explain the output of machine learning models.,Intermediate,0.35
FEAT-00074,LIME,Library,lime,2016,Local Interpretable Model-agnostic Explanations.,Intermediate,0.4
FEAT-00075,Diffusers,Library,huggingface diffusers,2022,Go-to library for state-of-the-art pretrained diffusion models.,Intermediate,0.35
FEAT-00076,FAISS,Library,Facebook AI Similarity Search,2017,Library for efficient similarity search and clustering of dense vectors.,Intermediate,0.4
FEAT-00077,ChromaDB,Library,Chroma,2022,Open-source AI application database for embeddings.,Intermediate,0.3
FEAT-00078,ImageNet,Dataset,ILSVRC,2009,Large-scale visual database designed for use in visual object recognition research.,Beginner,0.2
FEAT-00079,COCO,Dataset,"MS COCO, Common Objects in Context",2014,"Large-scale object detection, segmentation, and captioning dataset.",Beginner,0.25
FEAT-00080,MIMIC-III,Dataset,"MIMIC-IV, MIMIC Clinical Database",2015,Freely accessible critical care database.,Intermediate,0.45
FEAT-00081,SQuAD,Dataset,SQuAD 2.0,2016,Stanford Question Answering Dataset.,Intermediate,0.35
FEAT-00082,KITTI,Dataset,KITTI Vision Benchmark,2012,Mobile robotics and autonomous driving dataset.,Intermediate,0.4
FEAT-00083,nuScenes,Dataset,nuScenes 3D,2019,Public large-scale dataset for autonomous driving.,Advanced,0.5
FEAT-00084,MVTec AD,Dataset,MVTec Anomaly Detection,2019,Dataset for benchmarking industrial anomaly detection algorithms.,Intermediate,0.5
FEAT-00085,BraTS,Dataset,Brain Tumor Segmentation Challenge,2012,Multimodal Brain Tumor Image Segmentation Benchmark.,Advanced,0.55
FEAT-00086,CICIDS-2017,Dataset,CICIDS,2017,Network intrusion detection evaluation dataset.,Intermediate,0.4
FEAT-00087,GLUE,Dataset,SuperGLUE,2018,General Language Understanding Evaluation benchmark.,Intermediate,0.35
FEAT-00088,ChestX-ray14,Dataset,NIH Chest X-ray,2017,Hospital-scale chest X-ray database and benchmarks.,Intermediate,0.4
FEAT-00089,PlantVillage,Dataset,PlantVillage Dataset,2015,Dataset of healthy and diseased plant leaf images.,Beginner,0.3
FEAT-00090,Autonomous Vehicles,Application,"Self-Driving Cars, Robo-taxis",2015,Vehicles capable of sensing environment and operating without human involvement.,Advanced,0.4
FEAT-00091,Fraud Detection,Application,"Credit Card Fraud, Financial Fraud",2005,Automated system detecting illicit financial transactions.,Intermediate,0.25
FEAT-00092,Predictive Maintenance,Application,"PdM, Condition Monitoring",2010,Techniques predicting equipment failure to schedule maintenance.,Intermediate,0.3
FEAT-00093,Medical Diagnosis,Application,"Clinical Decision Support, Radiology AI",2015,AI-assisted clinical decision support for diagnosing patient illnesses.,Advanced,0.35
FEAT-00094,Smart Agriculture,Application,"Precision Agriculture, Smart Farming",2015,Using modern technology and IoT to increase quantity and quality of agricultural products.,Intermediate,0.35
FEAT-00095,Raspberry Pi,Hardware,"Raspberry Pi 4, RPi 5",2012,Small single-board computers for IoT and embedded prototypes.,Beginner,0.2
FEAT-00096,ESP32,Hardware,"ESP32-CAM, ESP8266",2016,"Low-cost, low-power system on a chip microcontrollers with integrated Wi-Fi and dual-mode Bluetooth.",Beginner,0.2
FEAT-00097,NVIDIA Jetson,Hardware,"Jetson Nano, Jetson Orin",2019,Leading platform for AI at the edge.,Intermediate,0.4
FEAT-00098,LiDAR Sensor,Hardware,"LiDAR, 3D LiDAR",2005,Method for determining ranges by targeting an object with a laser.,Advanced,0.45
FEAT-00099,STM32,Hardware,STM32 Microcontroller,2007,32-bit Flash microcontrollers based on ARM Cortex-M processor.,Intermediate,0.35
FEAT-00100,Convolutional Neural Network,Algorithm,"CNN, ConvNet, Conv2D",1989,Deep neural network architecture using convolutional layers for spatial feature extraction.,,0.5
FEAT-00101,Graph Neural Network,Algorithm,"GNN, Graph Net",2009,Neural network that operates on graph-structured data via message passing.,,0.5
FEAT-00102,Heterogeneous Graph Neural Network,Algorithm,"HetGNN, HGNN, Heterogeneous GNN",2019,GNN variant that handles graphs with multiple node/edge types.,,0.5
FEAT-00103,Graph Transformer,Algorithm,"GT, Graphormer",2020,Transformer architecture adapted for graph-structured inputs.,,0.5
FEAT-00104,Transformer,Algorithm,"Attention Mechanism, Multi-Head Attention, Self-Attention",2017,"Self-attention based sequence model (Vaswani et al., Attention Is All You Need).",,0.5
FEAT-00105,Federated Learning,Algorithm,"FL, Federated ML, FedAvg, FedProx",2016,Distributed ML training where data never leaves the client device.,,0.5
FEAT-00106,Transfer Learning,Algorithm,"Fine-tuning, Domain Adaptation, Pre-trained Model",1993,Reusing a model trained on one task as a starting point for another.,,0.5
FEAT-00107,Reinforcement Learning,Algorithm,"RL, Deep RL, Model-Free RL",1992,Learning by interaction with an environment to maximize cumulative reward.,,0.5
FEAT-00108,Generative Adversarial Network,Algorithm,"GAN, cGAN, DCGAN, StyleGAN, CycleGAN",2014,Generator–discriminator framework for synthesizing realistic data.,,0.5
FEAT-00109,Variational Autoencoder,Algorithm,"VAE, VQ-VAE",2013,Generative latent variable model that learns a structured embedding space.,,0.5
FEAT-00110,Anomaly Detection,Algorithm,"Outlier Detection, Novelty Detection, One-Class Classification",1980,Identifies data points significantly different from the expected distribution.,,0.5
FEAT-00111,Logistic Regression,Algorithm,"LR, Logit Regression",1958,Linear model for binary or multiclass classification using sigmoid output.,,0.5
FEAT-00112,Decision Tree,Algorithm,"DT, Classification Tree, Regression Tree, CART",1986,Hierarchical rule-based classifier splitting data on feature thresholds.,,0.5
FEAT-00113,Naive Bayes,Algorithm,"NB, Gaussian Naive Bayes, Multinomial NB",1960,Probabilistic classifier based on Bayes theorem with feature independence assumption.,,0.5
FEAT-00114,K-Nearest Neighbor,Algorithm,"KNN, k-NN, kNN",1967,Instance-based learning classifying by majority vote of k nearest neighbors.,,0.5
FEAT-00115,Gradient Descent,Algorithm,"SGD, Adam, AdaGrad, RMSProp, AdamW",1847,Iterative optimization algorithm minimizing a loss function.,,0.5
FEAT-00116,SMOTE,Algorithm,"Synthetic Minority Oversampling Technique, ADASYN",2002,Oversampling technique to handle class imbalance via synthetic sample generation.,,0.5
FEAT-00117,Neural Architecture Search,Algorithm,"NAS, AutoML, Efficient NAS, DARTS",2016,Automated search for optimal neural network architectures.,,0.5
FEAT-00118,EfficientNet,Algorithm,"EfficientNetV2, EfficientDet",2019,Compound-scaled CNN family achieving high accuracy with fewer parameters.,,0.5
FEAT-00119,MobileNet,Algorithm,"MobileNetV2, MobileNetV3, MobileViT",2017,Lightweight depthwise-separable CNN optimized for mobile/edge deployment.,,0.5
FEAT-00120,FaceNet,Algorithm,"Face Embedding, ArcFace, CosFace",2015,Deep embedding model for face recognition using triplet loss.,,0.5
FEAT-00121,DeepFace,Algorithm,"Face Verification, InsightFace",2014,Deep learning based face identification system (Meta).,,0.5
FEAT-00122,Named Entity Recognition,Algorithm,"NER, Entity Extraction, Information Extraction",1996,"NLP task identifying named entities (persons, organizations, etc.) in text.",,0.5
FEAT-00123,Text Classification,Algorithm,"Document Classification, Sentiment Classification",1992,Categorizing text into predefined classes.,,0.5
FEAT-00124,Object Detection,Algorithm,"Bounding Box Detection, Faster R-CNN, SSD",2001,Localizing and classifying multiple objects within an image.,,0.5
FEAT-00125,Semantic Segmentation,Algorithm,"Pixel Classification, Scene Parsing",2015,Assigning a class label to every pixel in an image.,,0.5
FEAT-00126,Action Recognition,Algorithm,"Activity Recognition, Gesture Recognition, Video Classification",2001,Classifying human actions or activities from video sequences.,,0.5
FEAT-00127,Pose Estimation,Algorithm,"Human Pose Estimation, Skeleton Detection, OpenPose, HRNet",2014,Detecting and localizing body keypoints for human pose analysis.,,0.5
FEAT-00128,Optical Flow,Algorithm,"Dense Optical Flow, FlowNet, RAFT",1981,Estimating per-pixel motion between consecutive video frames.,,0.5
FEAT-00129,Causal Inference,Algorithm,"Causal AI, Do-Calculus, Structural Causal Model",2000,Reasoning about cause-effect relationships beyond correlation.,,0.5
FEAT-00130,Counterfactual Explanation,Algorithm,"Counterfactual AI, Contrastive Explanation, DiCE",2017,Explaining model decisions by describing minimal input changes to flip the outcome.,,0.5
FEAT-00131,Quantum Machine Learning,Algorithm,"QML, Quantum Deep Learning, Quantum Neural Network",2014,Applying quantum computing to accelerate or enhance ML algorithms.,,0.5
FEAT-00132,Variational Quantum Circuit,Algorithm,"VQC, Quantum Variational Eigensolver, QAOA",2014,Parameterized quantum circuit trained with classical optimization.,,0.5
FEAT-00133,Recurrent Neural Network,Algorithm,"RNN, Sequence Model, Encoder-Decoder",1986,Neural network with temporal feedback connections for sequential data.,,0.5
FEAT-00134,Grad-CAM,Algorithm,"Gradient-weighted Class Activation Map, GradCAM, Grad-CAM++",2016,Visual explanation technique highlighting image regions driving CNN predictions.,,0.5
FEAT-00135,Sentence-BERT,Algorithm,"SBERT, Sentence Transformers, all-MiniLM-L6-v2",2019,BERT variant producing semantically meaningful sentence embeddings.,,0.5
FEAT-00136,Word2Vec,Algorithm,"Word Embeddings, GloVe, FastText",2013,Shallow neural network producing dense word vector representations.,,0.5
FEAT-00137,Bayesian Optimization,Algorithm,"Hyperparameter Optimization, Optuna, Hyperopt",1998,Probabilistic black-box optimization for hyperparameter tuning.,,0.5
FEAT-00138,Mean Shift,Algorithm,"Mean Shift Clustering, Bandwidth Estimation",1995,Non-parametric clustering algorithm seeking density mode.,,0.5
FEAT-00139,Phishing Detection,Application,"Scam Website Detection, Malicious URL Detection, Blacklist-free Detection",2004,Classifying URLs or emails as phishing/legitimate using ML features.,,0.5
FEAT-00140,Network Intrusion Detection,Application,"IDS, NIDS, Intrusion Prevention System, IPS, Intrusion Detection",1987,Monitoring network traffic to identify malicious activity.,,0.5
FEAT-00141,Landslide Detection,Application,"Landslide Alert System, Slope Stability Monitoring",2005,Using remote sensing and ML for landslide risk detection and early warning.,,0.5
FEAT-00142,Emotion Recognition,Application,"Facial Emotion Recognition, Affective Computing, Sentiment Analysis",1997,"Identifying human emotional states from facial, vocal, or physiological signals.",,0.5
FEAT-00143,Chatbot,Application,"Conversational AI, Dialogue System, Virtual Assistant, LLM Chatbot",1966,AI system engaging in human-like text or voice dialogue.,,0.5
FEAT-00144,Herbal Traceability,Application,"Botanical Traceability, Drug Authentication, Supply Chain Traceability",2010,Blockchain-based tracking of herbal/pharmaceutical products from source to consumer.,,0.5
FEAT-00145,Dysgraphia Detection,Application,"Handwriting Disorder Detection, Learning Disability Detection, Handwriting Analysis",2012,Automated identification of dysgraphia through handwriting pattern analysis.,,0.5
FEAT-00146,Sports Analytics,Application,"Sports AI, Game Analysis, Player Tracking",2003,Using AI/ML to analyze athlete performance and game events.,,0.5
FEAT-00147,Heart Attack Detection,Application,"Myocardial Infarction Detection, Cardiac Event Detection, Neurocardiac Monitoring",1995,Real-time ECG/PPG analysis for early detection of cardiac events.,,0.5
FEAT-00148,Supply Chain Optimization,Application,"Supply Chain Management, Logistics Optimization, Inventory Optimization",1985,Using ML/RL to minimize cost and improve efficiency in supply chains.,,0.5
FEAT-00149,Academic Project Evaluation,Application,"Project Assessment Tool, Academic Evaluation Support",2010,AI-based system for evaluating and scoring academic project submissions.,,0.5
FEAT-00150,Privacy Preserving Machine Learning,Application,"PPML, Privacy-secure AI, Secure ML",2010,"ML techniques that protect individual data privacy (FL, DP, HE).",,0.5
FEAT-00151,Video Analytics,Application,"Video Intelligence, Video Surveillance AI, Smart CCTV",2003,"Automated analysis of video streams for events, objects, and behavior.",,0.5
FEAT-00152,Edge AI,Application,"On-device AI, Edge Inference, TinyML",2017,Running AI inference at the network edge without cloud roundtrips.,,0.5
FEAT-00153,Explainable AI,Application,"XAI, Model Interpretability, AI Transparency",2016,Methods and tools to make ML model decisions understandable to humans.,,0.5
FEAT-00154,Blockchain,Technology,"Distributed Ledger, DLT, Web3",2008,Decentralized immutable ledger securing transactions via cryptographic hashing.,,0.5
FEAT-00155,Smart Contract,Technology,"Self-executing Contract, Solidity Contract, ERC-20",1994,Self-executing code stored on a blockchain that enforces contract terms.,,0.5
FEAT-00156,IPFS,Technology,"InterPlanetary File System, Content Addressing, Filecoin",2014,Peer-to-peer distributed file system using content-addressed storage.,,0.5
FEAT-00157,Differential Privacy,Technology,"DP, Epsilon-Delta Privacy, Noise Injection",2006,Mathematical framework guaranteeing individual records cannot be re-identified.,,0.5
FEAT-00158,Homomorphic Encryption,Technology,"HE, FHE, Fully Homomorphic Encryption, CKKS, BFV",2009,Encryption scheme allowing computation on ciphertext without decryption.,,0.5
FEAT-00159,TensorRT,Technology,"NVIDIA TensorRT, TRT",2017,NVIDIA SDK for high-performance deep learning inference on GPU.,,0.5
FEAT-00160,ONNX Runtime,Technology,"ORT, ONNX Inference",2018,High-performance inference engine for ONNX models across hardware backends.,,0.5
FEAT-00161,NVIDIA DeepStream,Technology,"DeepStream SDK, DeepStream",2018,NVIDIA SDK for AI-powered video analytics pipelines on Jetson/GPU.,,0.5
FEAT-00162,Edge Computing,Technology,"Fog Computing, Multi-access Edge Computing, MEC",2009,Distributed computing paradigm that processes data near the source.,,0.5
FEAT-00163,Quantum Computing,Technology,"Quantum Hardware, Qiskit, Cirq, PennyLane",1981,Computing using quantum-mechanical phenomena like superposition and entanglement.,,0.5
FEAT-00164,Remote Sensing,Technology,"Satellite Imagery, SAR, Synthetic Aperture Radar, Earth Observation",1960,Acquiring information about the Earth's surface without physical contact.,,0.5
FEAT-00165,Wearable Sensor,Technology,"Wearable Device, Biosensor, IoT Sensor, ECG Sensor, PPG Sensor",1998,Body-worn sensor collecting physiological or motion data.,,0.5
FEAT-00166,GDPR,Technology,"General Data Protection Regulation, Data Privacy Regulation, CCPA",2016,EU regulation governing personal data protection and privacy.,,0.5
FEAT-00167,Secure Aggregation,Technology,"SecAgg, Privacy-preserving Aggregation",2017,Cryptographic protocol aggregating model updates in FL without exposing individuals.,,0.5
FEAT-00168,Grafana,Technology,"Grafana Dashboard, Prometheus",2014,Open-source analytics and monitoring visualization platform.,,0.5
FEAT-00169,Elasticsearch,Technology,"Elastic Search, ELK Stack, OpenSearch",2010,Distributed search and analytics engine for log and data analysis.,,0.5
FEAT-00170,Whisper API,Technology,"OpenAI Whisper API, Speech-to-Text API",2022,Cloud API for automatic speech recognition using OpenAI Whisper model.,,0.5
FEAT-00171,Firebase,Technology,"Firebase Realtime DB, Firestore, Firebase Auth",2012,Google's mobile and web application development platform with BaaS features.,,0.5
FEAT-00172,MongoDB,Technology,"Mongo, NoSQL Database, Document Database",2009,Document-oriented NoSQL database storing data in flexible JSON-like BSON format.,,0.5
FEAT-00173,WebRTC,Technology,"Real-Time Communication, WebSocket, Peer-to-Peer",2011,Browser API enabling real-time audio/video/data peer-to-peer communication.,,0.5
FEAT-00174,Coral Edge TPU,Hardware,"Google Coral, Coral Dev Board, Coral USB Accelerator",2019,Google's ASIC for accelerating TensorFlow Lite inference at the edge.,,0.5
FEAT-00175,FPGA,Hardware,"Field Programmable Gate Array, Xilinx FPGA, Intel FPGA, Altera",1985,Reconfigurable hardware for custom digital logic acceleration.,,0.5
FEAT-00176,Arduino,Hardware,"Arduino Uno, Arduino Nano, Arduino Mega",2005,Open-source microcontroller platform widely used in IoT prototyping.,,0.5
FEAT-00177,IMU Sensor,Hardware,"Inertial Measurement Unit, Accelerometer, Gyroscope, MPU-6050",1954,"Sensor measuring acceleration, angular velocity, and magnetic field.",,0.5
FEAT-00178,Ultrasonic Sensor,Hardware,"HC-SR04, Sonar Sensor, Proximity Sensor",1940,Sensor using sound waves to measure distance.,,0.5
FEAT-00179,Pandas,Library,"pandas, DataFrame, Python Data Analysis",2008,Python library for data manipulation and analysis with DataFrame abstraction.,,0.5
FEAT-00180,NumPy,Library,"numpy, np",2006,Python library for numerical computation with multi-dimensional arrays.,,0.5
FEAT-00181,Matplotlib,Library,"pyplot, Seaborn, Plotly",2003,Python 2D/3D plotting library for data visualization.,,0.5
FEAT-00182,NetworkX,Library,networkx,2004,Python library for creation and analysis of complex networks and graphs.,,0.5
FEAT-00183,NLTK,Library,"Natural Language Toolkit, nltk",2001,Python platform for building NLP programs with text corpora.,,0.5
FEAT-00184,Dlib,Library,dlib,2009,C++ ML toolkit with Python bindings for face detection and landmark prediction.,,0.5
FEAT-00185,Librosa,Library,"librosa, Audio Feature Extraction",2015,Python library for music and audio analysis.,,0.5
FEAT-00186,Streamlit,Library,"streamlit, Streamlit App",2019,Python framework for rapidly building interactive ML/data apps.,,0.5
FEAT-00187,Gradio,Library,gradio,2019,Python library for building ML demo web interfaces in minutes.,,0.5
FEAT-00188,Detectron2,Framework,"Facebook Detectron2, detectron2",2019,Meta's modular object detection and segmentation research platform.,,0.5
FEAT-00189,MMDetection,Framework,"mmdet, OpenMMLab",2019,OpenMMLab's detection toolbox supporting 100+ detection algorithms.,,0.5
FEAT-00190,Hugging Face PEFT,Framework,"PEFT, LoRA PEFT, Parameter Efficient Fine-Tuning",2023,"Hugging Face library for parameter-efficient fine-tuning (LoRA, IA3, etc.).",,0.5
FEAT-00191,PhiUSIIL,Dataset,"Phishing URL Dataset, UCI Phishing Dataset",2012,Benchmark dataset of phishing and legitimate URLs for ML classification.,,0.5
FEAT-00192,MNIST,Dataset,"Modified NIST, Handwritten Digits Dataset",1998,"70,000 handwritten digit images widely used for classification benchmarks.",,0.5
FEAT-00193,UCF-101,Dataset,"UCF101, Action Recognition Dataset",2012,101-class human action recognition dataset from YouTube videos.,,0.5
FEAT-00194,HMDB-51,Dataset,"HMDB51, Human Motion Database",2011,51-class action recognition benchmark from movie/web video clips.,,0.5
FEAT-00195,NSL-KDD,Dataset,"NSL KDD, KDD Cup 99 Updated, Network Intrusion Dataset",2009,Benchmark dataset for network intrusion detection research.,,0.5
FEAT-00196,UNSW-NB15,Dataset,"UNSW NB15, Cyber Attack Dataset",2015,Network traffic dataset with 9 attack categories for IDS evaluation.,,0.5
FEAT-00197,PhysioNet,Dataset,"MIT-BIH, ECG Dataset, PTB-XL, PhysioBank",2000,Repository of physiological signal datasets for biomedical research.,,0.5
FEAT-00198,ISIC Dataset,Dataset,"ISIC, Skin Lesion Dataset, Dermoscopy Dataset",2016,International Skin Imaging Collaboration dataset for melanoma classification.,,0.5
FEAT-00199,Thyroid Ultrasound Dataset,Dataset,"TN3K, DDTI, Thyroid Dataset",2010,Ultrasound image dataset for thyroid nodule detection/classification.,,0.5
FEAT-00200,Open Images,Dataset,"Google Open Images, OID",2016,"Large-scale dataset with 9M images, 600 object classes with bounding boxes.",,0.5
FEAT-00201,CIFAR-10,Dataset,"CIFAR10, CIFAR-100",2009,"60,000 32x32 images in 10 object classes for image classification benchmarks.",,0.5
